Protein.Group	Protein.Names	Genes	First.Protein.Description	/ip-proteomics/ms-convert-output/2ul_CG_1.mzML	/ip-proteomics/ms-convert-output/2ul_CG_2.mzML	/ip-proteomics/ms-convert-output/2ul_CG_3.mzML	/ip-proteomics/ms-convert-output/2ul_CG_4.mzML	/ip-proteomics/ms-convert-output/2ul_CG_5.mzML	/ip-proteomics/ms-convert-output/2ul_CG_6.mzML	/ip-proteomics/ms-convert-output/2ul_CG_7.mzML	/ip-proteomics/ms-convert-output/2ul_CG_8.mzML	/ip-proteomics/ms-convert-output/2ul_CG_9.mzML	/ip-proteomics/ms-convert-output/2ul_CG_10.mzML
A2AGL3	RYR3_MOUSE	Ryr3	Ryanodine receptor 3	1815.51		2465.29	3875.37	3523.07	2427.5	4094.43	2836.29	2538.8	2721.1
A2AGT5	CKAP5_MOUSE	Ckap5	Cytoskeleton-associated protein 5	9937.47	11984.2	10140.6	11378.5	12183.8	11862.1	10765.2	9017.08	9091.32	10264.5
A2AHC3	CAMP1_MOUSE	Camsap1	Calmodulin-regulated spectrin-associated protein 1	6378.19	9770.21	6175.82	6761.41	5244.18	6181.95	6529.44	6087.39	5453.89	5545.11
A2AHG0	LZTS3_MOUSE	Lzts3	Leucine zipper putative tumor suppressor 3	60544.8	46376.9	63899.6	64741.8	63292.8	60369.4	65636.4	65736.5	71469.4	66637.4
A2AHL1;Q8C5H1	ANO3_MOUSE;ANO4_MOUSE	Ano3;Ano4	Anoctamin-3	530.843		970.086							
A2AI08	TPRN_MOUSE	Tprn	Taperin	1907.51		3059.41		1918.96	2750.11		2487.16	2300.49	2125.92
A2AJ72	A2AJ72_MOUSE	Fubp3	Far upstream element (FUSE) binding protein 3	4432.58									
A2AJ88	PLPL7_MOUSE	Pnpla7	Patatin-like phospholipase domain-containing protein 7	254.837									
A2AJA9	AJM1_MOUSE	Ajm1	Apical junction component 1 homolog	67696.5	48078.3	68642.7	64100.5	55090.7	60339.2	62075	66084.5	70274.4	67641.7
A2AJI0	MA7D1_MOUSE	Map7d1	MAP7 domain-containing protein 1	13477.3	10108.7	12690.2	13437	15415	14940	12991.7	12861.7	13856.1	13291.4
A2AJW5	A2AJW5_MOUSE	Fam217b	Family with sequence similarity 217, member B	1793.55		2042.95	2056.22	2379.2	2771.08	2403.79	2094.46	2304.38	2374.74
A2ALI5	AJAP1_MOUSE	Ajap1	Adherens junction-associated protein 1	1493.02		2757.8					2092.54	1503.13	
A2ALK8	PTN3_MOUSE	Ptpn3	Tyrosine-protein phosphatase non-receptor type 3	583.368		572.868		1735.71			636.495	761.546	889.931
A2ALS5	RPGP1_MOUSE	Rap1gap	Rap1 GTPase-activating protein 1	1093.7	3538.72	2375.02				3188.77	2666.28	1047.72	
A2ALU4	SHRM2_MOUSE	Shroom2	Protein Shroom2	2059.4		3568.87		12544.7	2515.74		2135.95	2434.92	2106.97
A2AN08	UBR4_MOUSE	Ubr4	E3 ubiquitin-protein ligase UBR4	4913.5	5497.7	5577.41	6062.14	6331.91	5840.38	5405.5	5191.48	5119.51	4440.05
A2AP18	PLCH2_MOUSE	Plch2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	903.685						954.251	1083.96		
A2APV2	FMNL2_MOUSE	Fmnl2	Formin-like protein 2	28032.7	31881.2	26015.7	26439.2	29940.1	29800.1	24563.4	25899.6	26485.6	27579.7
A2AQ25	SKT_MOUSE	Skt	Sickle tail protein	61541.4	44671.7	52688.8	51131.9	51524.7	46344	52235.2	49863.4	55023.4	53317.3
A2AR02	PPIG_MOUSE	Ppig	Peptidyl-prolyl cis-trans isomerase G	2308.27						2915.92		1482.47	
A2AR50	RGPS1_MOUSE	Ralgps1	Ras-specific guanine nucleotide-releasing factor RalGPS1	2294.2		2557.5		2544.44	1889.65	2480.58	2030.95	2156.94	2051.34
A2ARS0	ANR63_MOUSE	Ankrd63	Ankyrin repeat domain-containing protein 63	3908.63		4185.51	3164.02	3957.03	5025.28	4156.83	3588.51	3931.58	4100.25
A2ASQ1	AGRIN_MOUSE	Agrn	Agrin	4579.34	12019	5589.33	6783.2	7196.66	6323.54	5686.96	5153.66	5360.45	5807.57
A2ASZ8	SCMC2_MOUSE	Slc25a25	Mitochondrial adenyl nucleotide antiporter SLC25A25	1530.18						3316.89			
A2AT37	RENT2_MOUSE	Upf2	Regulator of nonsense transcripts 2	2523.13		1500.38	2646.81	2040.51		2465.31	2116.14	2076.47	1958.93
A2ATK9	A2ATK9_MOUSE	Fam171a1	Family with sequence similarity 171, member A1	1791.45									
A2AV25	FBCD1_MOUSE	Fibcd1	Fibrinogen C domain-containing protein 1	3879.81	8585.66	3599.22	4475.85	4460.94	4212.58	4436.01	3412.26	4414.36	5636.33
A2AWA9	RBGP1_MOUSE	Rabgap1	Rab GTPase-activating protein 1	786.901									
A2CG49	KALRN_MOUSE	Kalrn	Kalirin	54874.4	45946.4	57209.2	56102.5	52832.7	57194.3	54382.7	56323.1	55956.8	52014.5
A2RS43	A2RS43_MOUSE	Pcdh7	Protocadherin 7	2598.38									
A2RT62	FXL16_MOUSE	Fbxl16	F-box/LRR-repeat protein 16	6764.74		10299.2	14107.8			16496.9	7419.39	7949	15218.7
A2RTT5;Q8R2A7	A2RTT5_MOUSE;Q8R2A7_MOUSE	Vmn1r228;Vmn1r232	Vomeronasal type-1 receptor			30807.5	116690	53837.3	104858	50690.3	77403.1	26088	91166.8
A4Q9F0	TTLL7_MOUSE	Ttll7	Tubulin polyglutamylase TTLL7	1358.52								2516.8	
A6H5Z3	EXC6B_MOUSE	Exoc6b	Exocyst complex component 6B	13637.6	24620.2	16314.9	22540.8	20566.2	22327.7	18695.9	15849.6	16118.7	17241.6
A6H650	A6H650_MOUSE	Rasgef1a	RasGEF domain family, member 1A	5401.85		7528.21	6459.45	7111.35	5179.34	5303.02	5961.01	6107.02	5480.16
A6H6J9	A6H6J9_MOUSE	Ankrd50	Ankyrin repeat domain 50	364.734									
A6H8H5	KCNB2_MOUSE	Kcnb2	Potassium voltage-gated channel subfamily B member 2	1423.63							2961.23	2056.41	
A8DUK4	A8DUK4_MOUSE	Hbb-bs	Beta-globin	10279.8	19965.6	16993.8	189679	25086.1	179520	22049.9	103526	19702.4	133896
B0F2B4	NLGN4_MOUSE	Nlgn4l	Neuroligin 4-like	169.497		150.212				342.096	349		
B0V2N1	PTPRS_MOUSE	Ptprs	Receptor-type tyrosine-protein phosphatase S	13829	26215.8	14031.1	17291.2	17563.4	17485.3	19295.4	14459	14689.4	15523.1
B1AR13	CISD3_MOUSE	Cisd3	CDGSH iron-sulfur domain-containing protein 3, mitochondrial	1784.02		2219.12	2785.62		3139.5	1641.26	1561.27	1541.03	2329.35
B1AUE5	PEX10_MOUSE	Pex10	Peroxisome biogenesis factor 10	3527.92									
B1AUH1	PTPRU_MOUSE	Ptpru	Receptor-type tyrosine-protein phosphatase U	691.686									
B1AUN2	B1AUN2_MOUSE	Eif2b3	Translation initiation factor eIF2B subunit gamma	2000.84									
B1AVY7	KI16B_MOUSE	Kif16b	Kinesin-like protein KIF16B	3259.13	7824.8	7389.81	3518.43	4518.36		3924.9		4270.73	
B1AVZ0	UPP_MOUSE	Uprt	Uracil phosphoribosyltransferase homolog	227.38		483.863				1151.59			
B1AWC9	B1AWC9_MOUSE	Pde4b	Phosphodiesterase	8480.84		9697.24	9206.9	10629.4	12868.6	12331	7170.84	8762.24	7344.76
B1AWN6	SCN2A_MOUSE	Scn2a	Sodium channel protein type 2 subunit alpha	23559.8	34935.5	27448.3	25365.9	24198.7	24941	23031.9	22708.3	23211.8	20104.9
B1AXH1	NHSL2_MOUSE	Nhsl2	NHS-like protein 2	6557.27		5313.07	6246.88	6702.24	6808.38	4973.2	5785.23	5236.89	6599.24
B1AXV0	FRS1L_MOUSE	Frrs1l	DOMON domain-containing protein FRRS1L	7654.01	11008	8696.31	8389.78	10401.7	8090.12	9272.2	8723.5	9329.67	8166.04
B1AY10	NFX1_MOUSE	Nfx1	Transcriptional repressor NF-X1	12611.7									
B1AY13	UBP24_MOUSE	Usp24	Ubiquitin carboxyl-terminal hydrolase 24	1123.38							2424.6	1203.45	
B1AZI6	THOC2_MOUSE	Thoc2	THO complex subunit 2	1677.76	6041.31	4630.88	4991.5	6706.41	2878.55	4524.77	981.381	3304.71	
B1AZP2	DLGP4_MOUSE	Dlgap4	Disks large-associated protein 4	47637.9	38146.1	47481.9	45887.4	43692.7	43500.2	45137.8	50795.6	50843.9	47577.9
B2RQC6	PYR1_MOUSE	Cad	Multifunctional protein CAD	3700.39	3891.49	3964.71	4828.26	3535.74	4529.09	3521.53	3807.68	1938.87	1909.82
B2RR83	YTDC2_MOUSE	Ythdc2	3'-5' RNA helicase YTHDC2	4975.31		5626.39	6729.43	7985.71	5382.62	8326.41	5214.72	5625.57	7893.2
B2RRE7	OTUD4_MOUSE	Otud4	OTU domain-containing protein 4	1018.19									
B2RSH2	GNAI1_MOUSE	Gnai1	Guanine nucleotide-binding protein G(i) subunit alpha-1	70801	55355.7	52981.2	57605.1	46069.6	58822.8	58648.3	53718.7	57710.1	65573.6
B2RUJ5	APBA1_MOUSE	Apba1	Amyloid-beta A4 precursor protein-binding family A member 1	1272.34			1808.29				2496.88	1768.55	
B2RVL6	ZCH24_MOUSE	Zcchc24	Zinc finger CCHC domain-containing protein 24	3121.81									
B2RW11	B2RW11_MOUSE	Ankrd34a	Ankyrin repeat domain 34A	2721.64									
B2RWC4	B2RWC4_MOUSE	Lrrc73	Gm88 protein	31909.9	22814	26405.4	22991	21679.5	23280.2	24118.5	23110.6	25161.6	27508.8
B2RWJ3	TM240_MOUSE	Tmem240	Transmembrane protein 240	2201.48		2719.89				1311.52	3427.37		
B2RXC1	TPC11_MOUSE	Trappc11	Trafficking protein particle complex subunit 11	548.372		978.974		1099.03			1205.6	1265.13	780.166
B2RXQ2	B2RXQ2_MOUSE	Ppfia1	Ppfia1 protein	5752.12		7526.96	12739.2	9249.84	10568.9	10267.8	8420.93	6237.6	
B2RXS3	B2RXS3_MOUSE	Scaper	S phase cyclin A-associated protein in the ER	1403.64		3858.68							
B2RXT3	B2RXT3_MOUSE	Ogdhl	oxoglutarate dehydrogenase (succinyl-transferring)	8242.41	15655.7	8912	10043.8	11369.3	9927.06	9238.59	8825.29	9910.4	9573.39
B2RY56	RBM25_MOUSE	Rbm25	RNA-binding protein 25	9365.8		13756.3	14788.6	18569.6	14068.7			9539.29	8607.85
B5TVM2	ILDR2_MOUSE	Ildr2	Immunoglobulin-like domain-containing receptor 2	22261.4	22106.6	21984	23573.4	22710.1	20879.3	21787	24718.5	25067.8	23880.7
B8QI36	B8QI36_MOUSE	Ppfia4	Liprin-alpha 4	6432.67	8653.77	7305.11	10390.2	7258.01	9441.29	6406.7	8872.74	6701.5	9677.67
B9EHT4	CLIP3_MOUSE	Clip3	CAP-Gly domain-containing linker protein 3	1237.94		1321.81					1591.6	891.797	
B9EJ54	B9EJ54_MOUSE	Nup205	Nucleoporin 205	4907.23	28139.7	16858.2	14792.3	23445.3	11970.7	12926.4	7692.17	10850.4	7715.23
B9EJ86	OSBL8_MOUSE	Osbpl8	Oxysterol-binding protein-related protein 8	4889.34	7530.24	5099.48	6906.85	6876.07	6816.95	5826.03	6566.08	5561.71	5739.49
B9EJA2	CTTB2_MOUSE	Cttnbp2	Cortactin-binding protein 2	17699.1	20529.2	19631.2	21695.5	19197.6	22831.5	20160.8	23416.1	18871	22337.9
B9EJI9	T229A_MOUSE	Tmem229a	Transmembrane protein 229A	811.926									
B9EJX2	B9EJX2_MOUSE	Nhs	NHS actin remodeling regulator	143.194									
B9EKR1	PTPRZ_MOUSE	Ptprz1	Receptor-type tyrosine-protein phosphatase zeta	36332.7	26079.2	36029.6	34828.3	29071.2	30600.6	29867.3	32649.5	37766.3	34902.7
C0HKD8;C0HKD9	MFA1A_MOUSE;MFA1B_MOUSE	Mfap1a;Mfap1b	Microfibrillar-associated protein 1A	375.467	2068.37	1260.56		1716.97	991.831		392.493	654.002	
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2	H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1F_MOUSE;H2A1G_MOUSE;H2A1H_MOUSE;H2A1I_MOUSE;H2A1K_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A3_MOUSE;H2AJ_MOUSE	H2ac11;H2ac12;H2ac13;H2ac15;H2ac25;H2ac4;H2ac6;H2ac7;H2ac8;H2aj;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap	Histone H2A type 1-B	99537.5	222050	469957	329030	518981	295032	187856	114311	187054	136043
D3YUB6	BTBD8_MOUSE	Btbd8	BTB/POZ domain-containing protein 8	4984.25		5971.23	6266.25	6369.68	6494.89	8105.11	5345.14	5074.44	6052.24
D3YUJ3	CCYL1_MOUSE	Ccnyl1	Cyclin-Y-like protein 1	3151.39		3899.35	3416.62	4427.79	4151.33	4795.87	3137.31	3580.53	3549.77
D3YVF0	AKAP5_MOUSE	Akap5	A-kinase anchor protein 5	60198.2	50377.3	50265.1	51689	44201.3	48607.6	43266	46146.4	49258.1	44240.6
D3YVV3	D3YVV3_MOUSE	Ankrd29	Ankyrin repeat domain 29	6715.96	13951.6	8707.48	8863.4	9163.54	10110.2	9781.57	8716.69	10098	9475.24
D3YWQ0	DGKI_MOUSE	Dgki	Diacylglycerol kinase iota	70923.4	52099.6	83609.9	72879.5	84061	59260.6	84299.5	64192.1	80817.9	64286.4
D3YXK0	D3YXK0_MOUSE	Jakmip2	Janus kinase and microtubule interacting protein 2	11200.7	17145.8	11233.6	13495	14438.9	14360.1	14057.9	11835.7	12722.7	11632.7
D3YXK2	SAFB1_MOUSE	Safb	Scaffold attachment factor B1	9995.17	29408.6	24019.6	19868.4	35619.3	20324.6	16377.4	10278.4	14107.4	11448.7
D3YZI9	PGBD5_MOUSE	Pgbd5	PiggyBac transposable element-derived protein 5	5782.58		5337.37	5478.77	9283.08					
D3YZU1	SHAN1_MOUSE	Shank1	SH3 and multiple ankyrin repeat domains protein 1	204845	131561	179337	172532	160364	164955	177099	188122	193958	187495
D3Z0M9	D3Z0M9_MOUSE	Ddx23	RNA helicase	2923.23	9274.22	6510.86		6193.03				4738.45	
D3Z2H9	D3Z2H9_MOUSE	Tpm3-rs7	Tropomyosin 3, related sequence 7	88958.7	79429.5	97424.3	88266.4	89406.8	86392.2	93783.9	103521	103276	111117
D3Z3N4	D3Z3N4_MOUSE	Hnrnph3	Heterogeneous nuclear ribonucleoprotein H3	1653.21		5255.56	5787.25	7750.49	5038.3	5965.11	3031.03		
D3Z7H4	GSG1L_MOUSE	Gsg1l	Germ cell-specific gene 1-like protein	4120.92									
D3Z7P3	GLSK_MOUSE	Gls	Glutaminase kidney isoform, mitochondrial	3210.67		21020.2		19206.7		33295.8	5958.17	18725	
D3Z7X0	D3Z7X0_MOUSE	Acad12	Acyl-Coenzyme A dehydrogenase family, member 12	9322.43	4050.98	7014.66	7470.38	7259.4	6374.7	7638.32	7578.93	8432.22	8665.4
D4AFX7	D4AFX7_MOUSE	Dnajc13	DnaJ heat shock protein family (Hsp40) member C13	23068.9	61934.7	20353.2	20681.3	22853	27395.1	24514.4	24745.3	20146.9	24088.3
E0CZ16	KLHL3_MOUSE	Klhl3	Kelch-like protein 3	2121.21		1483.3	3048.1	1315.05	1384.12	2413.05	1188.31	1075.72	
E1U8D0	MTCL2_MOUSE	Mtcl2	Microtubule cross-linking factor 2	11962.8	23057.1	13112.7	14821.1	15864.5	16337.9	13194.5	12368.5	11963.3	13702.5
E9PV24	FIBA_MOUSE	Fga	Fibrinogen alpha chain	1032.08		1462.64	1635.38	1534.2	2344.36	1535.84	1665.27	1357.21	1448.72
E9PV26	E9PV26_MOUSE	Prr36	Proline rich 36	23137.9	44879	28076.7	35445.1	28605.4	30942.9	35502.2	35278.6	33897.2	35316
E9PV86	MCTP1_MOUSE	Mctp1	Multiple C2 and transmembrane domain-containing protein 1	2733.62		2331.15	2976.53	3482.19			2918.63	2559.37	4298.16
E9PVA8	GCN1_MOUSE	Gcn1	Stalled ribosome sensor GCN1	454.04		896.471						703.96	
E9PVZ8	E9PVZ8_MOUSE	Golgb1	Golgi autoantigen, golgin subfamily b, macrogolgin 1			6636.19		4393.62		7072.21		3712.43	
E9PW37	E9PW37_MOUSE	Rasal2	RAS protein activator like 2	37751.6	46277.7	38260.8	37713.8	40751	38860	40095.8	34925.3	36077.4	34063.8
E9PWR4	E9PWR4_MOUSE	Dip2c	Disco interacting protein 2 homolog C	1911.91		1895.12	1574.86	2512.77	1254.32	2031.56	2077.16	2085.64	1900.57
