Protein.Group	Protein.Names	Genes	First.Protein.Description	/ip-proteomics/ms-convert-output/2ul_CG_1.mzML	/ip-proteomics/ms-convert-output/2ul_CG_2.mzML	/ip-proteomics/ms-convert-output/2ul_CG_3.mzML	/ip-proteomics/ms-convert-output/2ul_CG_4.mzML	/ip-proteomics/ms-convert-output/2ul_CG_5.mzML	/ip-proteomics/ms-convert-output/2ul_CG_6.mzML	/ip-proteomics/ms-convert-output/2ul_CG_7.mzML	/ip-proteomics/ms-convert-output/2ul_CG_8.mzML	/ip-proteomics/ms-convert-output/2ul_CG_9.mzML	/ip-proteomics/ms-convert-output/2ul_CG_10.mzML
Q6PEB6	PHOCN_MOUSE	Mob4	MOB-like protein phocein	15940.2	12542.8	14375.1	15038	14537.1	17588.4	14058	15862.2	14409.1	16939.4
Q6PEE2	CTIF_MOUSE	Ctif	CBP80/20-dependent translation initiation factor	2486.44		2699.69	5832.1	4310.41	4791.16	3763.62	4219.25	3335.83	6315.92
Q6PER3	MARE3_MOUSE	Mapre3	Microtubule-associated protein RP/EB family member 3	7896.58	12398.6	8236.54	7346.68	8348.44	8200.82	6685.51	8361.21	6212.92	7198.55
Q6PFD5	DLGP3_MOUSE	Dlgap3	Disks large-associated protein 3	94496.5	72544.4	88894.2	84773.6	78736.8	81006.4	88829.1	87168.2	93368.7	92350.2
Q6PFD9	NUP98_MOUSE	Nup98	Nuclear pore complex protein Nup98-Nup96	1480.58		5710.66	7807.51	11287.7	4692.63	3282.81	2537.73	4839.96	4686.15
Q6PFE7	TEFF1_MOUSE	Tmeff1	Tomoregulin-1	4127.47		4760.38	5097.5	4653.68	5035.47	3947.57	4462.73	3922.1	4592.57
Q6PFR5	TRA2A_MOUSE	Tra2a	Transformer-2 protein homolog alpha	2377.56		2975.99	1958.32	5286.17	3746.9	2722.89	1295.18	2247.42	2042.76
Q6PFX6	CAD24_MOUSE	Cdh24	Cadherin-24	14757.9		15122.6	13771.7	12542.1	13189.5	13021.8	15555.4	13593.8	10200.1
Q6PFX7	NYAP1_MOUSE	Nyap1	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1	4713.33		5211.16	5449.54	5001.38	4313.28	8883.11	5220.44	5583.76	3909.91
Q6PFX9	TNKS1_MOUSE	Tnks	Poly [ADP-ribose] polymerase tankyrase-1	2021.61		1402.29	3475.65	2709.69			2697.7		1349.67
Q6PGC1	DHX29_MOUSE	Dhx29	ATP-dependent RNA helicase DHX29	1426.39									
Q6PGF2	MORN4_MOUSE	Morn4	MORN repeat-containing protein 4	3300.22		11053					6131.57		
Q6PGF7	EXOC8_MOUSE	Exoc8	Exocyst complex component 8	9960		15151.4	11978.1	14518.5	12894.4	15454.6	11309.1	12039.7	10571.1
Q6PGG6	GNL3L_MOUSE	Gnl3l	Guanine nucleotide-binding protein-like 3-like protein	1606.48		2263.9		4253.78					
Q6PGH1	BUD31_MOUSE	Bud31	Protein BUD31 homolog	506.639		1137.37	811.672	2517.66				903.076	
Q6PGN3	DCLK2_MOUSE	Dclk2	Serine/threonine-protein kinase DCLK2	20296.7	27258.7	19274.1	22256.2	21055.8	20959.7	21499.2	21045.5	20213.5	21814.8
Q6PH08	ERC2_MOUSE	Erc2	ERC protein 2	153636	119513	146906	135402	139314	147499	135309	143482	143422	140057
Q6PHN9	RAB35_MOUSE	Rab35	Ras-related protein Rab-35	26205.6	56215.6	34511.6	35298.7	36715.9	35672.8	38956.4	33520.3	30898.5	37514.4
Q6PHP6	Q6PHP6_MOUSE	Lrrn2	Leucine rich repeat protein 2, neuronal	1197.09									
Q6PHQ9	Q6PHQ9_MOUSE	Pabpc4	Polyadenylate-binding protein	43584.2	15675.5	14489.6	15717.2	17565	14610.5	15838.6	17174.1	14185.1	14923.9
Q6PHS9	CA2D2_MOUSE	Cacna2d2	Voltage-dependent calcium channel subunit alpha-2/delta-2	23487.6	19686.1	24980.6	23345.2	26144.7	25594.4	23202.5	23855.4	25249	26020.3
Q6PHU5	SORT_MOUSE	Sort1	Sortilin	3009.96		6136.3	5271.33	5171.33	6892.81	7453.47	5272.53	4364.24	4901.82
Q6PHZ2	KCC2D_MOUSE	Camk2d	Calcium/calmodulin-dependent protein kinase type II subunit delta	23544.6	21064.3	18040.3	20303.5	16932.1	18185.4	14654.4	16228.1	15430.3	16676.3
Q6PHZ8	KCIP4_MOUSE	Kcnip4	Kv channel-interacting protein 4	20986.1	19483	15583.2	17699	15821.4	15290.6	12626.5	16128.7	15736.3	13777.1
Q6PIC6	AT1A3_MOUSE	Atp1a3	Sodium/potassium-transporting ATPase subunit alpha-3	79355.1	149696	87139.9	76662.1	88008.1	85811.2	92132.2	80214.9	74777.7	73027.9
Q6PIE5	AT1A2_MOUSE	Atp1a2	Sodium/potassium-transporting ATPase subunit alpha-2	7357.48	28682	10596.3	11233.7	17807.9	13876.8	19077.2	12279.3	12676.4	10691.2
Q6PIU9	YJ005_MOUSE		Uncharacterized protein FLJ45252 homolog	1635.84		4610.32							
Q6Q477	AT2B4_MOUSE	Atp2b4	Plasma membrane calcium-transporting ATPase 4	2253.29		3857.38	7548.59		7798.64		4993.16	4330.67	
Q6QI06	RICTR_MOUSE	Rictor	Rapamycin-insensitive companion of mTOR	1164.23		1653.78		2278.62	1293.66		918.916	1484.44	1632.44
Q6R0H7	GNAS1_MOUSE	Gnas	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	34545.1	27788.4	35519.1	33739.9	33452.5	36151.9	29338.1	32512.1	34818.8	33159.3
Q6R891	NEB2_MOUSE	Ppp1r9b	Neurabin-2	149269	128188	171217	155838	153448	157858	164795	185952	194026	175273
Q6RHR9	MAGI1_MOUSE	Magi1	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1	2015.16		2632.78	4611.61	3736.32	4635.88	3011.56	4402.29	2722.55	2970.01
Q6RI63	F120B_MOUSE	Fam120b	Constitutive coactivator of peroxisome proliferator-activated receptor gamma	479.698		1021.93							
Q6TDP3	KLH17_MOUSE	Klhl17	Kelch-like protein 17	424.017									
Q6TEK5	VKORL_MOUSE	Vkorc1l1	Vitamin K epoxide reductase complex subunit 1-like protein 1	317.002								353.624	
Q6URW6	MYH14_MOUSE	Myh14	Myosin-14	49757.8	47594.8	56197.5	54416.5	51506.4	53922.8	55567	60893.4	64900	60910.9
Q6VN19	RBP10_MOUSE	Ranbp10	Ran-binding protein 10	1611.25		1427.67					1107.55	1745.59	1331.38
Q6VNB8	WDFY3_MOUSE	Wdfy3	WD repeat and FYVE domain-containing protein 3	462.568		539.219	2199.41				648.841	348.087	
Q6VNS1	NTRK3_MOUSE	Ntrk3	NT-3 growth factor receptor	3457.54	14701.2	4370.38	3557.86	3460.71	3390.39	4433.28	4077.85	3382.93	3905.2
Q6WKZ8	UBR2_MOUSE	Ubr2	E3 ubiquitin-protein ligase UBR2	1159.5									
Q6WQJ1	DGLA_MOUSE	Dagla	Diacylglycerol lipase-alpha	19628.2	17487.3	20503.5	18002.2	20346.5	19040.9	21935.6	22914.8	23114.4	20007.4
Q6WVG3	KCD12_MOUSE	Kctd12	BTB/POZ domain-containing protein KCTD12	53668.2	36089.9	47147.3	48248	45577	44206.1	50870.4	51228.4	56774.7	47490
Q6X893	CTL1_MOUSE	Slc44a1	Choline transporter-like protein 1	1905.99		1136.37	1948		1464.07		1646.14	1421.1	1571.19
Q6Y685	TACC1_MOUSE	Tacc1	Transforming acidic coiled-coil-containing protein 1	951.221		952.859							
Q6ZPE2	MTMR5_MOUSE	Sbf1	Myotubularin-related protein 5	30615	32643.7	32333.4	36384.7	30472.1	34869.3	30611.8	29471.9	28868.7	31757.1
Q6ZPF4	FMNL3_MOUSE	Fmnl3	Formin-like protein 3	1199.14				1970.73		2536.16		1731.12	
Q6ZPJ0	TEX2_MOUSE	Tex2	Testis-expressed protein 2	1029.12		820.109							
Q6ZPJ3	UBE2O_MOUSE	Ube2o	(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O	1728.02		1413.25		2447.08		1920.12		1882.82	
Q6ZPQ6	PITM2_MOUSE	Pitpnm2	Membrane-associated phosphatidylinositol transfer protein 2	6157.51		10844.7	7898.35	15365.3	8531.71	12115.4	6597.09	8650.37	8098.6
Q6ZPR1	CFA97_MOUSE	Cfap97	Cilia- and flagella-associated protein 97	6557.12									
Q6ZPR4	KCNT1_MOUSE	Kcnt1	Potassium channel subfamily T member 1	1776.53									
Q6ZPS6	AKIB1_MOUSE	Ankib1	Ankyrin repeat and IBR domain-containing protein 1	2674.91	5480.19	3159.72	1499.32	3792.65	3431.17	2529.28	2610.02	2138.64	
Q6ZPU9	KBP_MOUSE	Kifbp	KIF-binding protein	2889.93									
Q6ZPY2	SMG5_MOUSE	Smg5	Nonsense-mediated mRNA decay factor SMG5	1333.76		1442.6	1220.82		1189.21			1163.52	1081.69
Q6ZPZ3	ZC3H4_MOUSE	Zc3h4	Zinc finger CCCH domain-containing protein 4	880.032									
Q6ZQ08	CNOT1_MOUSE	Cnot1	CCR4-NOT transcription complex subunit 1	7292.26	41061	8381.62	9609.29	12312.6	9778.53	9519.87	9630.9	7608.51	7409.78
Q6ZQ18	EFR3B_MOUSE	Efr3b	Protein EFR3 homolog B	12317.3	15532	14073.7	14310.4	12951.6	15064.3	13775.1	13063.7	13410.8	13522.3
Q6ZQ29	TAOK2_MOUSE	Taok2	Serine/threonine-protein kinase TAO2	4106.6		3377.06	4846.8	4339.79	3574.34	2940.31	3473.96	4438.96	3478.94
Q6ZQ38	CAND1_MOUSE	Cand1	Cullin-associated NEDD8-dissociated protein 1	1902.66	5263.63	2319.85	3392.6	2374.09	2666.74	3712.03	3784.46	2522.02	3067.96
Q6ZQ58	LARP1_MOUSE	Larp1	La-related protein 1	7298.73		4445.92	4010.53	8346.82	5381.38	7416.67	5155.25	3904.08	6803.79
Q6ZQ82	RHG26_MOUSE	Arhgap26	Rho GTPase-activating protein 26	11897.5	16103.2	11977.9	12837.7	13882	12087.7	12694.5	13746.5	13790.3	13030.2
Q6ZQK5	ACAP2_MOUSE	Acap2	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	1857.28		11316.8		17813.5	9698.62	15165.3	2587.87	8725	
Q6ZWN5	RS9_MOUSE	Rps9	Small ribosomal subunit protein uS4	120070	35466.4	62666.3	59544.3	64856.8	51559.4	64953.4	69058.8	67028.1	72896.9
Q6ZWR4	2ABB_MOUSE	Ppp2r2b	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform	543.377		590.684		869.211				708.848	
Q6ZWR6	SYNE1_MOUSE	Syne1	Nesprin-1	27573.5	33624	30803.9	30227.3	30485.1	28347.1	28943.8	28150.5	30100.7	29048.8
Q6ZWU9	RS27_MOUSE	Rps27	Small ribosomal subunit protein eS27	18774.7	35221.6	13497.2	13699.9	13673.2	16206.5	16051.1	13273.1	12778.6	13431.8
Q6ZWV3	RL10_MOUSE	Rpl10	Large ribosomal subunit protein uL16	115166	37245.4	63866.5	74399.7	79326	80557.3	75079.9	63669.5	72357.2	71722.8
Q6ZWV7	RL35_MOUSE	Rpl35	Large ribosomal subunit protein uL29	94235.6	27476.6	40358.7	29350.4	42638.4	27351.8	41873.1	39442.6	43280.1	49247.8
Q6ZWX6	IF2A_MOUSE	Eif2s1	Eukaryotic translation initiation factor 2 subunit 1	4110.84	10790.9	4363.13	7276.07	6000.17	4856.06	8933.71	7104.46	3914.85	6155.61
Q6ZWY3	RS27L_MOUSE	Rps27l	Small ribosomal subunit protein eS27-like	9588.7	16901.5	9315.01	11684.3	13289.5	11128.6	9382.39	7675.34	7251.21	10940.3
Q70FJ1	AKAP9_MOUSE	Akap9	A-kinase anchor protein 9	6988.24		10797.7	12978.9	12097.6	11801.2	15213.2	11882.1	13043.2	16799
Q70IV5	SYNEM_MOUSE	Synm	Synemin	2128.9	9206.15	9271.97		9453.22		8767.17	3264.59	3038.44	5723.38
Q71LX4	TLN2_MOUSE	Tln2	Talin-2	3831.06	7173.79	5130.22	6803.78	5373.83	6194.05	5561.81	4524.33	4813.5	5444.53
Q71M36	CSPG5_MOUSE	Cspg5	Chondroitin sulfate proteoglycan 5	4420.66		6781.22	6229.07	4615.74	5756.7	9011.68	5342.79	5122.32	
Q76I79	SSH1_MOUSE	Ssh1	Protein phosphatase Slingshot homolog 1	3276.77						4349.51			
Q76KF0	SEM6D_MOUSE	Sema6d	Semaphorin-6D			3052.93	10878	4301.33	7540.08		6965.32		4765.95
Q76M80	Q76M80_MOUSE	Kcnk12	MNTK1	2747.91		2561	2992.03		1518.72	2554.66	1942.26	2249.18	2144.18
Q76MZ3	2AAA_MOUSE	Ppp2r1a	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	52595.2	50609.2	46859.6	44681.5	44857.3	48417.2	42146.1	45568.2	44279.5	45926.3
Q78DX7	ROS1_MOUSE	Ros1	Proto-oncogene tyrosine-protein kinase ROS	1099.93		1077.74	1680.4					1315.01	
Q78IK2	ATPMK_MOUSE	Atp5mk	ATP synthase membrane subunit K, mitochondrial	7683.84	10588.7	4730.36	6541.83	7531.2	5944.65	4296.62	3471.19	5216.33	4696.64
Q78PY7	SND1_MOUSE	Snd1	Staphylococcal nuclease domain-containing protein 1	3496.15	11044.6	3223.38	3775.43	4838.93	4838.43	4763.06	4700.2	3412.28	4247.54
Q78TU8	F107A_MOUSE	Fam107a	Actin-associated protein FAM107A	4836.6	6823.2	5764.25	4897.03	4751.92	4628.08	5110.52	5301.93	6274.62	6659.22
Q78ZA7	NP1L4_MOUSE	Nap1l4	Nucleosome assembly protein 1-like 4	3120.64		6803.33							
Q791T5	MTCH1_MOUSE	Mtch1	Mitochondrial carrier homolog 1	19384.5	29418.3	17434.1	16315.2	22480.6	17454.1	20258.1	14924.5	18646.1	17362.3
Q791V5	MTCH2_MOUSE	Mtch2	Mitochondrial carrier homolog 2	28739.8	48495.6	34902	36755.1	41243.9	35499.8	41841.4	32094.2	30749	33422.2
Q792Z1	Q792Z1_MOUSE	Try10	trypsin	11199		119777	137849	196235	192793	174648	106136	93167.9	79418.8
Q7M6Y3	PICAL_MOUSE	Picalm	Phosphatidylinositol-binding clathrin assembly protein	3065.56	16607.3	3409.43	2901.58	2511.97	3170.36	3169.75	4642.25	3036.47	2634.65
Q7M6Z0	R4RL2_MOUSE	Rtn4rl2	Reticulon-4 receptor-like 2	8496.48		8701.74	8852.19	8964.72	8765.45	10093.6	8549.84	8683.09	8421.11
Q7TMB8	CYFP1_MOUSE	Cyfip1	Cytoplasmic FMR1-interacting protein 1	11406.6	11847	9614.06	10501.8	11335.8	11358.2	10410.6	9906.79	9279.81	8897.72
Q7TME0	PLPR4_MOUSE	Plppr4	Phospholipid phosphatase-related protein type 4	27989.9	28558.7	23348.9	31775	28326.6	30812.9	25872.6	25556	19754	24077.1
Q7TMF3	NDUAC_MOUSE	Ndufa12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	5300.24	41799.1	6171.58	6988.22	7882.68	8301.89	8589.53	7109.21	5287.86	5872.67
Q7TMK9	HNRPQ_MOUSE	Syncrip	Heterogeneous nuclear ribonucleoprotein Q	68216.8	37876.9	51838	40213.5	63431.5	39133.5	43539	32882.2	42028.4	32876.6
Q7TMM9	TBB2A_MOUSE	Tubb2a	Tubulin beta-2A chain	127199	107693	102148	98772.9	102771	103025	86705.4	90948.9	80461.1	80725.2
Q7TMQ7	WDR91_MOUSE	Wdr91	WD repeat-containing protein 91	2500.63									4753.51
Q7TMS5	ABCG2_MOUSE	Abcg2	Broad substrate specificity ATP-binding cassette transporter ABCG2	505.701		1462.44				1014.64	1147.95	1193.37	
Q7TMY8	HUWE1_MOUSE	Huwe1	E3 ubiquitin-protein ligase HUWE1	2624.3					6905.26	6339.02			
Q7TN29	SMAP2_MOUSE	Smap2	Stromal membrane-associated protein 2	1037.06	6790.28			6354.2		4371.22	1402.43	1722.69	
Q7TN33	CELF6_MOUSE	Celf6	CUGBP Elav-like family member 6	2196.39		2093.75						1179.52	
Q7TN74	Q7TN74_MOUSE	Ppp1r9a	Neurabin I	125180	111354	141651	136548	130810	132324	138503	157189	167528	157442
Q7TN79	AKA7G_MOUSE	Akap7	A-kinase anchor protein 7 isoform gamma	1354.69				2999.17					
Q7TN98	CPEB4_MOUSE	Cpeb4	Cytoplasmic polyadenylation element-binding protein 4	6645.94	9892.92	4391.16	5679.61	3612.36	4068.06	5094.09	4347.75	4559.44	4995.96
Q7TN99	CPEB3_MOUSE	Cpeb3	Cytoplasmic polyadenylation element-binding protein 3	2776.61		1447.29	2908.06	2580.6	3792.35		3179.37	1982.73	2840.7
Q7TNC4	LC7L2_MOUSE	Luc7l2	Putative RNA-binding protein Luc7-like 2	1351.47		2125.38	2581.56		2574.93	3866.92	2094.51	2269	1138.1
Q7TNC9	I5P1_MOUSE	Inpp5a	Inositol polyphosphate-5-phosphatase A	2559.5									
Q7TNG5	EMAL2_MOUSE	Eml2	Echinoderm microtubule-associated protein-like 2	4119.14	12937.3	5783.93	8356.61	5726.04	7903.03	5846.13	7106.46	5940.24	7941.02
Q7TNL5	Q7TNL5_MOUSE	Ppp2r5d	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit	16528.9	25287.3	15654.5	20362.7	18230.3	16265.3	16112.6	15366.8	13771.9	15834.2
Q7TNM2	TRI46_MOUSE	Trim46	Tripartite motif-containing protein 46	10599.2	7128.6	8478.51	10168.9	10099.9	9146.35	9279.85	10104.8	9318.5	9828.05
Q7TNR6	IGS21_MOUSE	Igsf21	Immunoglobulin superfamily member 21	41227.5	32793.6	46693.1	41904.5	35176.7	36992	40004.2	43312.2	50102.6	44172.6
Q7TNS5	Q7TNS5_MOUSE	B630019K06Rik	RIKEN cDNA B630019K06 gene	16800.9	43709.5	18490.4	22123.2	19742.9	16957	20580.7	17721.2	17051.2	15758.8
Q7TPB0	PLPR3_MOUSE	Plppr3	Phospholipid phosphatase-related protein type 3	6909.33		6229.41	9670.45	10799.4	6628.76	10651.5	7708.19	7693.71	7638.18
Q7TPD3	ROBO2_MOUSE	Robo2	Roundabout homolog 2	237.204		269.411	572.439				382.18	289.306	
Q7TPG8	TAFA1_MOUSE	Tafa1	Chemokine-like protein TAFA-1	551.156									
Q7TPH6	MYCB2_MOUSE	Mycbp2	E3 ubiquitin-protein ligase MYCBP2	30277	24669.7	19413	20847.6	21012.8	19816.6	20415.2	18751.7	17994.6	19636.3
Q7TPM1	PRC2B_MOUSE	Prrc2b	Protein PRRC2B	2306.18		2189.76		2904.48		4642.13	1650.24	1559.62	970.881
Q7TPR4	ACTN1_MOUSE	Actn1	Alpha-actinin-1	169386	132390	181514	172339	156556	166513	180055	197042	210378	204449
Q7TPS5	C2CD5_MOUSE	C2cd5	C2 domain-containing protein 5	1466.81		1384.24	1313.69	1300.38	2408.74	1129.45	906.601	992.014	
Q7TPV2	DZIP3_MOUSE	Dzip3	E3 ubiquitin-protein ligase DZIP3	784.07									
Q7TPV4	MBB1A_MOUSE	Mybbp1a	Myb-binding protein 1A	834.766		2385.33	2864.85	3213.41	2676.72	2963.32		1141.16	
Q7TQ95	LNP_MOUSE	Lnpk	Endoplasmic reticulum junction formation protein lunapark	897.666				3820.4		2743.08	1575.59		
Q7TQC7	GPTC2_MOUSE	Gpatch2	G patch domain-containing protein 2	1298.58			3204.56		3023.09		1097.21	3017.72	3486.78
Q7TQD2	TPPP_MOUSE	Tppp	Tubulin polymerization-promoting protein	3228.08	11002.1	3737.94	4741.12	4472.54	6775.23	4590.4	3508.31	3587.29	6993.02
Q7TQE6	MACOI_MOUSE	Maco1	Macoilin	1856.55		4020.53					933.72	1337.17	2357.54
Q7TQF2	FBX10_MOUSE	Fbxo10	F-box only protein 10	2060.38									
Q7TQF7	AMPH_MOUSE	Amph	Amphiphysin	12100.3	18740.3	14957.1	17789.2	17251.4	19055.6	15257.4	16537.3	14741.4	15746.4
Q7TQG1	PKHA6_MOUSE	Plekha6	Pleckstrin homology domain-containing family A member 6	58282.3	68381.9	52704	55421.4	54241.1	53874.2	53293.7	56622.3	59686.1	56486.3
Q7TQH0	ATX2L_MOUSE	Atxn2l	Ataxin-2-like protein	9629.18		3997.99	3388.85	4448.04	3748.65	4653.05	3994.54	3400.46	3345.77
Q7TQI3	OTUB1_MOUSE	Otub1	Ubiquitin thioesterase OTUB1	1769.33		1590.36					2372.06	1484.38	2196.04
Q7TQI7	ABTB2_MOUSE	Abtb2	Ankyrin repeat and BTB/POZ domain-containing protein 2	2254.29		4407.16				4086.34			
Q7TSC1	PRC2A_MOUSE	Prrc2a	Protein PRRC2A	6542.61	5488.31	3920.39	4690.69	5371.21	4451.03	6498.36	4330.76	4135.11	4271.09
Q7TSF4	LR75A_MOUSE	Lrrc75a	Leucine-rich repeat-containing protein 75A	1038.33									
Q7TSH2	KPBB_MOUSE	Phkb	Phosphorylase b kinase regulatory subunit beta	599.004		1343.16			1903.61	1748.37		1114.48	
Q7TSH4	CP110_MOUSE	Ccp110	Centriolar coiled-coil protein of 110 kDa	1609.81		1572.5		1581.01				3706.89	1276.93
Q7TSI3	PP6R1_MOUSE	Ppp6r1	Serine/threonine-protein phosphatase 6 regulatory subunit 1	3049.57		2350.53							
Q7TSJ2	MAP6_MOUSE	Map6	Microtubule-associated protein 6	238962	152179	214676	198385	219282	180341	207790	185801	226967	195480
Q7TSV4	PGM2_MOUSE	Pgm2	Phosphopentomutase								4232.44		
Q7TSY6	CELF4_MOUSE	Celf4	CUGBP Elav-like family member 4	1153.79									
Q7TT00	SP20H_MOUSE	Supt20h	Transcription factor SPT20 homolog	7721.39	17738.8	89732.4	166215	157388		144413	85768.7	88315.2	181064
Q7TT15	GLT17_MOUSE	Galnt17	Polypeptide N-acetylgalactosaminyltransferase 17	737.503		1387.78	1261.07				1100.16	1181.62	
Q7TT37	ELP1_MOUSE	Elp1	Elongator complex protein 1	3001.28		3809.39	4450.6	4725.04	4176.11		4571.82	3364.52	3886.31
Q7TT50	MRCKB_MOUSE	Cdc42bpb	Serine/threonine-protein kinase MRCK beta	5037.55	11610.2	8210.1	10777.4	7920.31	9311.1	7722.46	7663.76	8737.29	9721.48
Q80SW1	SAHH2_MOUSE	Ahcyl1	S-adenosylhomocysteine hydrolase-like protein 1	9264.2	22381.7	12488.7	13035.6	13409	13157	12051.3	11488.7	10295.2	14763.5
Q80SY4	MIB1_MOUSE	Mib1	E3 ubiquitin-protein ligase MIB1	3269.66		3337.81	3373.05	3559.4	4458.76	3173.08	3201.74	2891.98	3587.33
Q80SY5	PR38B_MOUSE	Prpf38b	Pre-mRNA-splicing factor 38B	692.099									
Q80T23	SYTL5_MOUSE	Sytl5	Synaptotagmin-like protein 5	378.259		426.58	952.237		406.112				
Q80T41	GABR2_MOUSE	Gabbr2	Gamma-aminobutyric acid type B receptor subunit 2	67844.8	60777.3	65156.2	60524.6	58130.5	56090.4	65910.3	67038	69286.9	68841.8
Q80TE4	SI1L2_MOUSE	Sipa1l2	Signal-induced proliferation-associated 1-like protein 2	18466.5	22581.9	22412.5	25032.4	25636.8	25052.2	23415.3	21807.5	23111.7	22520.7
Q80TE7	LRRC7_MOUSE	Lrrc7	Leucine-rich repeat-containing protein 7	293752	216660	255693	250974	225394	242258	236843	248754	252493	240567
Q80TF3	PCD19_MOUSE	Pcdh19	Protocadherin-19	491.885									
Q80TG9	LRFN2_MOUSE	Lrfn2	Leucine-rich repeat and fibronectin type-III domain-containing protein 2	599.792		2062.82					1610.7		
Q80TH2	ERBIN_MOUSE	Erbin	Erbin	20318.2	31665.1	23032.9	19808.3	25333.3	23874.9	22170.6	22086.4	21707	22164.3
Q80TI0	ASTRB_MOUSE	Gramd1b	Protein Aster-B	311.073					592.489		602.578		
Q80TI1	PKHH1_MOUSE	Plekhh1	Pleckstrin homology domain-containing family H member 1	1132.74		1506.18	1656.58	2033.06	2106.6	1247.98	972.615		870.909
Q80TJ1	CAPS1_MOUSE	Cadps	Calcium-dependent secretion activator 1	7451.79	21677	6905.93	8288.67	7548.68	6454.57	7240.53	9440.64	7033.58	8389.79
Q80TJ7;Q9WTU0	PHF2_MOUSE;PHF8_MOUSE	Phf2;Phf8	Histone lysine demethylase PHF8			12949.3	7533.19	20328.4					
Q80TL0	PPM1E_MOUSE	Ppm1e	Protein phosphatase 1E	2144.51		2989.04					2760.75	1723.49	
Q80TL1	ADCY2_MOUSE	Adcy2	Adenylate cyclase type 2	7162.32									
Q80TL7	MON2_MOUSE	Mon2	Protein MON2 homolog	1846.22		2180.7	2146.83	2239.04	2666.13	2159.25	1512.1	1703.57	1458.03
Q80TM6	R3HD2_MOUSE	R3hdm2	R3H domain-containing protein 2	1771.63									
Q80TM9	NISCH_MOUSE	Nisch	Nischarin	383.602		674.035						430.591	
Q80TN4	DJC16_MOUSE	Dnajc16	DnaJ homolog subfamily C member 16	1673.02		2309.67	2925.33	2540.53	2451.38	2162.08	1969.74	1630.19	2019.39
Q80TN5	ZDH17_MOUSE	Zdhhc17	Palmitoyltransferase ZDHHC17	2827.39		4522.46		7499.06	7610.39	3934.98	3169.43	3942.45	
Q80TN7	NAV3_MOUSE	Nav3	Neuron navigator 3	9699.49	16227.4	7909.39	9700.23	10604.3	10378.6	9658.77	9159.65	8379.49	9203.67
Q80TQ2	CYLD_MOUSE	Cyld	Ubiquitin carboxyl-terminal hydrolase CYLD	19730.1	23401.7	20234.2	20471.5	19296.1	18753.3	18969.2	16988.3	18189.8	19075.6
Q80TR1	AGRL1_MOUSE	Adgrl1	Adhesion G protein-coupled receptor L1	7023.95	14875.7	6419.05	6816.21	7435.64	6167.55	5452.53	4849.7	5440.05	4162.39
Q80TR4	SLIT1_MOUSE	Slit1	Slit homolog 1 protein	1942.14		2873.42		4145.59		2943.61	3006.1	3086.35	2231.88
Q80TS3	AGRL3_MOUSE	Adgrl3	Adhesion G protein-coupled receptor L3	8641.69		9736.23	10260.9	15882.8	13191.7	10570.2	10611.9	9815.47	9392.89
Q80TS7	DEND_MOUSE	Ddn	Dendrin	20595.4	18626.4	16674.3	18017	19386.7	16397.4	17785.2	18765.4	16960.2	16344.8
Q80TT8	CUL9_MOUSE	Cul9	Cullin-9	683.856		1509.91	1106.32			1188.59	828.105	1045.69	685.995
Q80TV8	CLAP1_MOUSE	Clasp1	CLIP-associating protein 1	80213.2	70452.5	65918.8	63180.3	63552.9	67413.2	64340.7	65861.5	65549.6	67187
Q80TZ3	AUXI_MOUSE	Dnajc6	Auxilin	4629.02		4340.66	4341.36	4977.44	5087.76	4395.98	4428.7	3829.99	4169.28
Q80U19	DAAM2_MOUSE	Daam2	Disheveled-associated activator of morphogenesis 2	533.631					1212.59		988.489		
Q80U23	SNPH_MOUSE	Snph	Syntaphilin	72601.7	49447.4	55940.4	56497.1	52062	56328.4	59172.4	59619.4	60585.4	57730
Q80U28	MADD_MOUSE	Madd	MAP kinase-activating death domain protein	1106.15		1515.8		1993.06	1114.96		1297.74	1081.13	
Q80U35	ARHGH_MOUSE	Arhgef17	Rho guanine nucleotide exchange factor 17	32719.4	42921.4	39356.6	40803.1	35659.7	38458.1	40244.2	40473.5	38979.6	42501.9
Q80U40	RIMB2_MOUSE	Rimbp2	RIMS-binding protein 2	37296.4	24873.9	29801.6	30996.3	27517	30196.7	29601.7	30546.8	30394.4	31033
Q80U49	C170B_MOUSE	Cep170b	Centrosomal protein of 170 kDa protein B	37040.9	29250.4	25166.7	29070.5	27139.3	29182.4	25581.2	27241.5	27489.1	27989.7
Q80U57	RIMS3_MOUSE	Rims3	Regulating synaptic membrane exocytosis protein 3	8593.61	8627	7125.68	6713.53	5734.34	5786.88	4904.53	6767.27	7096.79	5323.54
Q80U58	PUM2_MOUSE	Pum2	Pumilio homolog 2	10423.6		10942.4							
